SKU_ID,Item_Cost,Item_Count,Total_Cost,Lead_Time,Shelf_Life,EOQ,Lead_Time_Variability,Seasonality,Warehouse_Location,Customer_Reviews,Historical_Sales_Data,Demand_Fluctuation,ABC_Classification
SKU0001,10.5,150,1575,5,180,175,low,none,Mumbai,4.5,250,increasing,A
SKU0002,5.25,300,1575,7,365,210,medium,seasonal,Banglore,4,350,stable,B
SKU0003,15.75,100,1575,3,90,90,high,none,Delhi,3.8,120,decreasing,C
SKU0004,8,200,1600,4,120,140,medium,none,Mumbai,4.7,180,increasing,A
SKU0005,3,500,1500,6,240,320,high,seasonal,Banglore,4.2,400,stable,B
SKU0006,20,75,1500,2,180,70,low,none,Delhi,3.5,80,decreasing,C
SKU0007,12.75,120,1530,5,365,125,medium,none,Mumbai,4.8,150,increasing,A
SKU0008,6,250,1500,7,120,180,medium,seasonal,Banglore,4.2,280,stable,B
SKU0009,18.5,90,1665,4,180,85,low,none,Delhi,3.9,110,decreasing,C
SKU0010,9.25,180,1665,3,365,200,high,none,Mumbai,4.6,220,increasing,A
SKU0011,11.2,220,2464,6,150,210,medium,none,Banglore,4.3,180,increasing,B
SKU0012,7.8,180,1404,4,120,135,low,none,Delhi,3.5,100,decreasing,C
SKU0013,22,150,3300,5,365,180,high,seasonal,Mumbai,4.8,280,stable,A
SKU0014,4.5,400,1800,7,240,280,medium,none,Banglore,4.1,320,stable,B
SKU0015,14.9,80,1192,3,90,85,low,none,Delhi,3.7,90,decreasing,C
SKU0016,10,240,2400,6,180,200,medium,seasonal,Mumbai,4.4,300,increasing,A
SKU0017,8.75,160,1400,2,150,150,high,none,Banglore,4.2,220,stable,B
SKU0018,6.3,190,1197,4,120,130,low,none,Delhi,3.8,130,decreasing,C
SKU0019,17.25,110,1897.5,5,240,105,medium,none,Mumbai,4.7,150,increasing,A
SKU0020,5,350,1750,7,180,280,high,seasonal,Banglore,4,400,stable,B
SKU0021,21.5,70,1505,3,365,80,low,none,Delhi,3.3,90,decreasing,C
SKU0022,9.8,200,1960,6,120,180,medium,none,Mumbai,4.5,240,increasing,A
SKU0023,11.75,230,2702.5,5,180,145,medium,seasonal,Mumbai,4.6,220,increasing,A
SKU0024,8.25,180,1485,6,240,140,low,none,Banglore,4.2,180,stable,B
SKU0025,19.5,150,2925,3,365,130,medium,none,Delhi,3.8,250,increasing,C
SKU0026,9.75,270,2632.5,4,120,220,high,none,Mumbai,4.7,280,increasing,A
SKU0027,4.5,400,1800,7,240,300,high,seasonal,Banglore,4.1,350,stable,B
SKU0028,15.6,120,1872,5,150,110,low,none,Delhi,3.6,90,decreasing,C
SKU0029,12.25,150,1837.5,4,180,115,medium,none,Mumbai,4.5,180,increasing,A
SKU0030,7,250,1750,6,365,280,medium,seasonal,Banglore,4.2,320,stable,B
SKU0031,22.9,100,2290,3,90,80,low,none,Delhi,3.9,120,decreasing,C
SKU0032,6.85,210,1438.5,2,180,160,high,none,Mumbai,4.8,230,increasing,A
SKU0033,18.4,90,1656,7,365,95,medium,none,Banglore,4.4,110,increasing,B
SKU0034,10.75,180,1935,4,120,180,low,none,Delhi,3.7,160,decreasing,C
SKU0035,3.5,500,1750,6,240,310,high,seasonal,Mumbai,4.1,390,stable,B
SKU0036,17.2,110,1892,5,180,105,medium,none,Banglore,4.5,150,increasing,A
SKU0037,14,160,2240,7,150,120,low,none,Delhi,3.9,190,increasing,C
SKU0038,8.8,200,1760,4,365,180,medium,seasonal,Mumbai,4.3,220,stable,B
SKU0039,5.25,310,1627.5,3,180,195,high,none,Banglore,4.2,270,stable,B
SKU0040,21.75,90,1957.5,6,365,95,low,none,Delhi,3.7,110,decreasing,C
SKU0041,11.25,160,1800,2,240,150,medium,none,Mumbai,4.8,180,increasing,A
SKU0042,9.4,210,1974,5,180,160,high,none,Banglore,4.5,220,increasing,B
SKU0043,6.65,290,1928.5,7,120,240,medium,seasonal,Delhi,3.6,290,stable,B
SKU0044,7.8,260,2028,3,150,185,low,none,Delhi,3.8,240,decreasing,C
SKU0045,4.15,400,1660,5,180,290,medium,seasonal,Mumbai,4.6,320,increasing,A
SKU0046,18.9,120,2268,6,240,105,medium,none,Banglore,4.1,140,stable,B
SKU0047,10.25,190,1947.5,4,365,150,high,none,Delhi,3.7,190,increasing,C
SKU0048,5.5,340,1870,7,180,235,high,seasonal,Mumbai,4.3,280,stable,B
SKU0049,14.7,140,2058,2,90,95,low,none,Banglore,4.2,160,increasing,B
SKU0050,12,180,2160,5,365,175,medium,none,Delhi,3.9,210,increasing,C
SKU0051,6.75,280,1890,3,180,230,medium,seasonal,Mumbai,4.6,300,increasing,A
SKU0052,21.2,110,2332,6,120,90,low,none,Banglore,4,120,decreasing,C
SKU0053,9.95,220,2189,4,240,190,high,none,Delhi,3.8,250,increasing,C
SKU0054,3.8,460,1748,7,180,320,high,seasonal,Mumbai,4.4,360,stable,B
SKU0055,16.5,130,2145,5,365,115,low,none,Banglore,4.1,150,increasing,A
SKU0056,13.2,180,2376,4,180,140,medium,none,Delhi,3.5,220,decreasing,C
SKU0057,7.5,270,2025,6,240,220,medium,seasonal,Mumbai,4.2,280,stable,B
SKU0058,22.4,100,2240,3,365,90,low,none,Banglore,4.7,120,decreasing,C
SKU0059,11.15,160,1784,7,150,125,high,none,Delhi,3.9,190,increasing,C
SKU0060,5.9,290,1711,4,180,240,high,seasonal,Mumbai,4.3,320,stable,B
SKU0061,19.8,80,1584,5,180,70,low,none,Banglore,4.5,90,decreasing,C
SKU0062,8.4,230,1932,2,365,185,medium,none,Delhi,3.6,280,increasing,A
SKU0063,6.25,280,1750,6,180,250,medium,seasonal,Mumbai,4.1,320,stable,B
SKU0064,23.7,90,2133,4,365,80,low,none,Banglore,4.6,110,decreasing,C
SKU0065,10.85,170,1844.5,3,150,145,high,none,Delhi,3.8,210,increasing,C
SKU0066,4.3,390,1677,7,240,310,high,seasonal,Mumbai,4.2,370,stable,B
SKU0067,15.2,120,1824,5,180,110,low,none,Banglore,4.4,150,increasing,A
SKU0068,12,200,2400,6,240,175,medium,none,Delhi,3.7,220,increasing,C
SKU0069,6.9,280,1932,4,365,230,medium,seasonal,Mumbai,4.3,290,increasing,A
SKU0070,20.5,100,2050,3,180,85,low,none,Banglore,4.5,120,decreasing,C
SKU0071,11.3,160,1808,7,365,135,high,none,Delhi,3.9,180,increasing,C
SKU0072,8.75,220,1925,5,150,190,medium,none,Mumbai,4.6,250,increasing,A
SKU0073,5.4,300,1620,6,180,280,high,seasonal,Banglore,4.1,330,stable,B
SKU0074,17.8,110,1958,4,240,100,medium,none,Delhi,3.6,150,increasing,C
SKU0075,14.5,160,2320,2,365,140,low,none,Mumbai,4.8,190,increasing,A
SKU0076,9.1,260,2366,5,180,225,medium,seasonal,Banglore,4.4,280,stable,B
SKU0077,7.25,300,2175,6,240,265,high,none,Delhi,3.8,320,increasing,C
SKU0078,21.9,90,1971,3,180,75,low,none,Mumbai,4.3,110,decreasing,C
SKU0079,10.5,180,1890,4,365,160,medium,none,Banglore,4.6,210,increasing,A
SKU0080,6.35,280,1778,5,180,240,high,seasonal,Delhi,3.7,290,increasing,A
SKU0081,12.25,200,2450,5,180,180,medium,seasonal,Mumbai,4.5,230,stable,B
SKU0082,8.1,260,2106,6,180,220,high,none,Banglore,4,280,increasing,C
SKU0083,5.75,330,1897.5,3,240,275,high,seasonal,Delhi,3.9,350,increasing,C
SKU0084,18.6,100,1860,7,150,85,low,none,Mumbai,4.8,120,decreasing,C
SKU0085,9.75,180,1755,4,180,150,medium,none,Banglore,4.3,210,increasing,A
SKU0086,7.2,240,1728,5,365,205,medium,seasonal,Delhi,3.8,260,stable,B
SKU0087,23.1,80,1848,2,180,70,low,none,Mumbai,4.2,100,decreasing,C
SKU0088,10.95,170,1856.5,6,240,145,high,none,Banglore,4.5,200,increasing,A
SKU0089,6.6,300,1980,3,365,265,high,seasonal,Delhi,3.7,340,increasing,C
SKU0090,16.9,130,2197,5,180,115,low,none,Mumbai,4.4,160,increasing,A
SKU0091,14.25,150,2137.5,4,150,140,medium,none,Banglore,4.1,180,increasing,B
SKU0092,8.75,220,1925,7,365,180,medium,seasonal,Delhi,3.5,260,increasing,C
SKU0093,4.8,380,1824,6,180,300,high,none,Mumbai,4.7,420,stable,B
SKU0094,19.7,90,1773,4,240,75,low,none,Banglore,4.2,110,decreasing,C
SKU0095,12.4,180,2232,5,365,160,medium,none,Delhi,3.9,200,increasing,C
SKU0096,11.25,190,2137.5,3,180,165,medium,seasonal,Mumbai,4.5,220,increasing,A
SKU0097,7.9,260,2054,6,240,235,high,none,Banglore,4,300,increasing,C
SKU0098,5.4,320,1728,5,180,255,high,seasonal,Delhi,3.8,340,increasing,C
SKU0099,21.5,100,2150,4,365,95,low,none,Mumbai,4.6,120,decreasing,C
SKU0100,13.4,130,1742,4,180,120,low,none,Banglore,4.2,160,increasing,B
SKU0101,11.2,240,2688,5,180,220,medium,seasonal,Mumbai,4.4,280,increasing,A
SKU0102,7.85,210,1648.5,6,240,185,high,none,Banglore,4.1,260,increasing,C
SKU0103,6.3,320,2016,3,180,275,high,seasonal,Delhi,3.9,350,increasing,C
SKU0104,17.9,120,2148,7,150,95,low,none,Mumbai,4.8,140,decreasing,C
SKU0105,8.6,190,1634,4,180,150,medium,none,Banglore,4.3,210,increasing,A
